position,scope,method,n,population_n,forecast_covered_n,zero_outcome_n,spearman,points_mae,tier_rank,predicted_top_n,actual_top_n,tier_hits,tier_precision,tier_recall,tier_hit_rate,replacement_rank,predicted_replacement_points,actual_replacement_points,vorp_mae,vorp_spearman
QB,all_eligible,model,107,107,91,27,0.7459780937361942,41.830920449610126,12,12,12,6,0.5,0.5,0.5,13,237.11730045216555,243.57999999999998,43.4993231536376,0.7459780937361942
QB,all_eligible,carry_forward,107,107,91,27,0.650965582103534,50.69607476635514,12,12,12,7,0.5833333333333334,0.5833333333333334,0.5833333333333334,13,272.86,243.57999999999998,63.206728971962626,0.650965582103534
QB,all_eligible,availability_adjusted,107,107,91,27,0.5942750736661954,75.9362816635597,12,12,12,5,0.4166666666666667,0.4166666666666667,0.4166666666666667,13,303.24,243.57999999999998,87.19602665688416,0.5942750736661954
QB,forecast_covered,model,91,107,91,17,0.7412509564898683,47.69415920998114,12,12,12,6,0.5,0.5,0.5,13,237.11730045216555,243.57999999999998,48.841426195269676,0.7412509564898683
QB,forecast_covered,carry_forward,91,107,91,17,0.6423880808147651,58.118021978021964,12,12,12,7,0.5833333333333334,0.5833333333333334,0.5833333333333334,13,272.86,243.57999999999998,67.68417582417582,0.6423880808147651
QB,forecast_covered,availability_adjusted,91,107,91,17,0.5614337270563923,87.79606745055919,12,12,12,5,0.4166666666666667,0.4166666666666667,0.4166666666666667,13,303.24,243.57999999999998,90.54983354161104,0.5614337270563923
RB,all_eligible,model,185,185,156,37,0.693108126139528,35.87706460537458,24,24,24,16,0.6666666666666666,0.6666666666666666,0.6666666666666666,25,160.5334770919402,164.8,37.20051463094879,0.6930482068441861
RB,all_eligible,carry_forward,185,185,156,37,0.5531114563187868,37.279675675675676,24,24,24,14,0.5833333333333334,0.5833333333333334,0.5833333333333334,25,167.3,164.8,38.03913513513514,0.5531796003400439
RB,all_eligible,availability_adjusted,185,185,156,37,0.549704428514043,43.180786377286374,24,24,24,15,0.625,0.625,0.625,25,188.17692307692306,164.8,48.16303257403258,0.5496701842560326
RB,forecast_covered,model,156,185,156,26,0.7445547467442123,40.29010866663011,24,24,24,16,0.6666666666666666,0.6666666666666666,0.6666666666666666,25,160.5334770919402,164.8,41.860869474367604,0.7445547467442123
RB,forecast_covered,carry_forward,156,185,156,26,0.5600265311949186,41.953461538461546,24,24,24,14,0.5833333333333334,0.5833333333333334,0.5833333333333334,25,167.3,164.8,42.39192307692307,0.5601125750429224
RB,forecast_covered,availability_adjusted,156,185,156,26,0.5561242870793871,48.95157358844859,24,24,24,15,0.625,0.625,0.625,25,188.17692307692306,164.8,50.51686062157216,0.5560811409874477
WR,all_eligible,model,298,298,269,65,0.7793698807116212,24.74296889589612,36,36,36,21,0.5833333333333334,0.5833333333333334,0.5833333333333334,37,128.6801065800847,133.2,25.905502118927583,0.7793770725481041
WR,all_eligible,carry_forward,298,298,269,65,0.6815452221140212,28.173758389261746,36,36,36,22,0.6111111111111112,0.6111111111111112,0.6111111111111112,37,146.20000000000002,133.2,32.590134228187935,0.6815928635423948
WR,all_eligible,availability_adjusted,298,298,269,65,0.6775065153776457,33.728677617311845,36,36,36,21,0.5833333333333334,0.5833333333333334,0.5833333333333334,37,171.27499999999998,133.2,45.516852038900694,0.6775059602660352
WR,forecast_covered,model,269,298,269,51,0.7885735666077875,26.783958107721354,36,36,36,21,0.5833333333333334,0.5833333333333334,0.5833333333333334,37,128.6801065800847,133.2,27.866769579856957,0.788583294315232
WR,forecast_covered,carry_forward,269,298,269,51,0.6747253747956717,30.584609665427518,36,36,36,22,0.6111111111111112,0.6111111111111112,0.6111111111111112,37,146.20000000000002,133.2,34.07561338289964,0.6747829067118605
WR,forecast_covered,availability_adjusted,269,298,269,51,0.6705293095809822,36.738386356724654,36,36,36,21,0.5833333333333334,0.5833333333333334,0.5833333333333334,37,171.27499999999998,133.2,45.69266508398665,0.6705285687701321
TE,all_eligible,model,165,165,145,29,0.8167164036072165,17.35618994208401,12,12,12,6,0.5,0.5,0.5,13,108.28475703017094,133.0,31.227930303473563,0.8167440161427413
TE,all_eligible,carry_forward,165,165,145,29,0.6927938606553982,21.990909090909092,12,12,12,3,0.25,0.25,0.25,13,112.4,133.0,31.291515151515153,0.6927999217421269
TE,all_eligible,availability_adjusted,165,165,145,29,0.6877694811295433,23.136910433001344,12,12,12,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,137.33571428571426,133.0,24.549964046054946,0.687782523059161
TE,forecast_covered,model,145,165,145,20,0.8208163993402414,19.139802347888704,12,12,12,6,0.5,0.5,0.5,13,108.28475703017094,133.0,32.01954570080149,0.8208567964160869
TE,forecast_covered,carry_forward,145,165,145,20,0.6599241969581346,24.413793103448278,12,12,12,3,0.25,0.25,0.25,13,112.4,133.0,32.602758620689656,0.6599328983273592
TE,forecast_covered,availability_adjusted,145,165,145,20,0.6549377331612771,25.71786359617394,12,12,12,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,137.33571428571426,133.0,26.72779159920539,0.6549564856014537
