player_id,position,season,fantasy_pts,fantasy_pts_low_raw,fantasy_pts_low,fantasy_pts_high,fantasy_low_floor_applied,pg_attempts,pg_carries,pg_completions,pg_interceptions,pg_passing_tds,pg_passing_yards,pg_receiving_tds,pg_receiving_yards,pg_receptions,pg_rushing_tds,pg_rushing_yards,pg_targets,any_stat_low_n_flag,any_stat_constraint_applied,normalization_scale_attempts,normalization_scale_passing_yards,normalization_scale_receiving_yards,normalization_scale_carries,normalization_scale_rushing_yards,normalization_scale_receptions,normalization_scale_receiving_tds,any_receiving_share_capped,any_receiving_share_normalized,display_name,team,source,low_confidence,rookie_tier,team_changed,roster_status,depth_rank,role,depth_chart_status,projected_games,projected_games_raw,role_discount_factor,role_discount_applied,nfl_depth_rank,projected_volume_games,team_qb_raw_appearance_games,team_qb_volume_allocation_direction,team_qb_roster_resolved,qb_volume_games_scale,qb_volume_allocation_adjusted,team_qb_attempt_anchor_fully_allocated,athletic_tier,target_depth_rank,rookie_depth_band,rookie_vacancy_scale,rookie_id_unresolved,rookie_availability_cell_n,rookie_availability_fallback_used,team_pass_catch_ratio_pre_normalization,team_pass_catch_pre_normalization_flag,team_pass_catch_ratio,team_pass_catch_coherence_flag,team_pass_attempts_pg_pred,team_passing_yards_pg_pred,team_carries_pg_pred,team_rushing_yards_pg_pred,team_anchor_source_season,team_anchor_lag_team,team_anchor_provenance,team_unmodeled_qb_volume_games,team_unmodeled_qb_attempts_season,team_unmodeled_qb_completions_season,team_unmodeled_qb_passing_yards_season,team_unmodeled_qb_passing_tds_season,team_unmodeled_receiving_yards_season,team_unmodeled_receptions_season,team_unmodeled_receiving_tds_season,team_unmodeled_carries_season,team_unmodeled_rushing_yards_season,coherence_receiver_exposure_basis,fantasy_pts_season,fantasy_pts_season_low,fantasy_pts_season_high
00-0034857,QB,2026,24.850786800337282,11.162883655797698,11.162883655797698,37.4680791039865,False,37.643224004624486,7.223666694687249,22.70872161052999,0.7877937407759708,1.8969953975745748,269.15102647656664,,,,0.6510056722754556,41.66317598875524,,False,False,1.378790816901574,1.373578184373022,,1.1775325353228003,1.1820728830302527,,,False,False,Josh Allen,BUF,veteran_model,False,,False,ACT,1.0,starter,curated,13.948120927327135,13.948120927327135,1.0,False,1.0,13.948120927327135,19.188752995523423,downward,True,1.0,False,True,,,,,,,,0.7593521024192644,True,1.0000000000000002,False,33.20980278431125,231.99901556001677,27.99616806245821,133.52559682822502,2025.0,BUF,canonical_source_team_frame,0.0,0.0,0.0,0.0,0.0,949.1112807004124,46.39500475262196,9.898639211919374,0.0,0.0,projected_games,346.6217794303294,155.7012511287499,522.6092982570626
00-0036971,QB,2026,22.848468560030426,10.214727258972124,10.214727258972124,34.829808657400584,False,36.090735296336746,6.4732320092477895,24.16483284934814,0.6936389843945859,2.092220634273659,244.42239640855425,,,,0.5002354987738159,30.88555142739895,,False,False,1.1644456565909498,1.042532001826654,,1.6672118914977505,1.6565721233672748,,,False,False,Trevor Lawrence,JAX,veteran_model,False,,False,ACT,1.0,starter,curated,15.77881730377606,15.77881730377606,1.0,False,1.0,15.77881730377606,20.91117902481969,downward,True,1.0,False,True,,,,,,,,0.8851319125423893,False,1.0,False,34.28151954965283,230.8790754929431,27.42470108063263,117.85711799660008,2025.0,JAX,canonical_source_team_frame,0.0,0.0,0.0,0.0,0.0,450.8508432095469,86.0577840954719,11.241227748836687,0.0,0.0,projected_games,360.52181107979135,161.17631522722235,549.5731875306016
00-0039851,QB,2026,22.67633481404673,9.809332300872288,9.809332300872288,34.775414168140266,False,36.32042556894187,6.7274664846844265,24.95252857630232,0.7765803433556479,2.00453251459598,263.05978539896074,,,,0.2905678496705956,39.45566928392101,,False,False,1.282125562783218,1.165899147259074,,1.3417538172764012,1.364198709624094,,,False,False,Drake Maye,NE,veteran_model,False,,False,ACT,1.0,starter,curated,14.088936989937316,14.088936989937316,1.0,False,1.0,15.54222542951308,15.514862915863242,upward,True,1.1031510354978336,True,True,,,,,,,,1.031238153407921,False,1.0,False,33.74673756144342,243.75690325453,26.991281582048,121.68752580253285,2025.0,NE,canonical_source_team_frame,0.0,0.0,0.0,0.0,0.0,0.0,46.4987440092047,5.313157340037154,0.0,4.547473508864641e-13,projected_games,352.44070759502983,152.45885393316132,540.487326405919
00-0036355,QB,2026,21.800295468576042,10.200550813030215,10.200550813030215,32.65269361481316,False,38.57205734123876,5.037761144093689,25.96791564247862,0.7086745365866989,2.123385566337535,259.01332406968163,,,,0.320140863454297,24.42724132886253,,False,False,1.1992637081743944,1.071149345275198,,1.1228870138391622,1.1047745608156143,,,False,False,Justin Herbert,LAC,veteran_model,False,,False,ACT,1.0,starter,curated,14.51173429197407,14.51173429197407,1.0,False,1.0,14.51173429197407,17.766558860084036,downward,True,1.0,False,True,,,,,,,,0.8738879430131317,False,1.0000000000000002,False,34.810666017945884,231.0080210563423,26.605299733204117,118.73885720842677,2025.0,LAC,canonical_source_team_frame,0.0,0.0,0.0,0.0,0.0,495.25924416997896,85.95645165181321,9.84346087815383,0.0,2.273736754432321e-13,projected_games,316.3600953265019,148.02768303047455,473.8472136554069
00-0033077,QB,2026,20.98526381152017,9.43750575164844,9.43750575164844,32.77941010499983,False,39.35522519733436,4.05941200032389,26.223785687195544,0.7839064425672087,2.09944399093665,288.2805399201923,,,,0.1346758976149502,18.160237504105904,,False,False,1.1342709119088803,1.131190319739291,,1.4502308162230673,1.5000663715610858,,,False,False,Dak Prescott,DAL,veteran_model,False,,False,ACT,1.0,starter,curated,12.711305349868766,12.711305349868766,1.0,False,1.0,13.998169639439643,15.59640979493878,upward,True,1.1012377764636236,True,True,,,,,,,,0.9154402489060334,False,1.0,False,34.84872978596818,250.0568833557896,26.917412919796803,120.7151518201046,2025.0,DAL,canonical_source_team_frame,0.0,0.0,0.0,0.0,0.0,359.46071287027644,61.75970440799336,6.84212667819077,5.684341886080803e-14,0.0,projected_games,293.75528276205307,132.1078064847622,458.8517433305497
00-0035710,QB,2026,20.921747845658487,7.027436093319431,7.027436093319431,34.98767711058982,False,39.74631048107323,4.196706016432089,25.606215308489,1.1277999640008225,2.3263756614741684,281.72804669706966,,,,0.1248858399899326,18.53408219941075,,False,False,1.5344858558815233,1.3441036053091555,,1.4247182728384695,1.5034108020199757,,,False,False,Daniel Jones,IND,veteran_model,False,,False,ACT,1.0,starter,curated,12.232474015197694,12.232474015197694,1.0,False,1.0,12.232474015197694,21.009031332207936,downward,True,1.0,False,True,,,,,,,,0.7058870510529968,True,1.0,False,33.81962358341313,234.02719158280576,26.501089706236453,117.38641446396322,2025.0,IND,canonical_source_team_frame,0.0,0.0,0.0,0.0,0.0,1170.117266653473,106.40316164047442,10.53862979320159,0.0,2.273736754432321e-13,projected_games,255.92473687453577,85.96292940499234,427.9858511074171
00-0038128,QB,2026,20.87902345487754,-0.8096204759015332,0.0,41.004182144224856,True,37.41568847910808,6.36564252687771,22.012178755940614,0.8507783996647237,1.73184166971878,251.0206277826609,,,,0.3676757002944392,34.06334262258798,,False,True,2.756630207790167,2.5777510012336804,,1.0795843605361275,1.0943066772227508,,,False,False,Malik Willis,MIA,veteran_model,False,,True,ACT,1.0,starter,curated,7.862275656668099,7.862275656668099,1.0,False,1.0,9.988755703464127,14.251269430341456,upward,True,1.2704662288192012,True,True,,,,,,,,0.8699753607046594,False,1.0,False,32.35673046917577,214.6124638790677,26.70994351578604,118.05744126358432,2025.0,MIA,canonical_source_team_frame,0.0,0.0,0.0,0.0,0.0,474.38343947072144,38.31794632224063,1.03258531888412,0.0,2.273736754432321e-13,projected_games,208.55546461766932,0.0,409.58075825900795
00-0039918,QB,2026,20.8663599075447,7.9202559159038195,7.9202559159038195,33.169055609775185,False,37.66674739410151,5.32194534249601,24.051951863157488,0.6940297747912733,1.9558186961447968,260.2099417919061,,,,0.1988100103266807,28.298869389117343,,False,False,1.2878923781791454,1.2499928231285748,,1.3389839398481769,1.447174058309732,,,False,False,Caleb Williams,CHI,veteran_model,False,,False,ACT,1.0,starter,curated,14.766040642564528,14.766040642564528,1.0,False,1.0,14.766040642564528,18.517371404698917,downward,True,1.0,False,True,,,,,,,,0.8891920847594211,False,0.9999999999999998,False,33.737891607375786,231.6083524098304,27.69702416995268,127.85615277062598,2025.0,CHI,canonical_source_team_frame,0.0,0.0,0.0,0.0,0.0,436.28865760825647,55.35499624173946,6.300988377753331,5.684341886080803e-14,0.0,projected_games,308.11351845718406,116.95082075374793,489.7756232094233
00-0039150,QB,2026,20.726383795349484,3.5791853960583166,3.5791853960583166,37.47723074362006,False,36.780093047346206,8.177939308589128,24.373248212014676,0.7806165035027687,1.6122216740984272,241.83826261351595,,,,0.4607816503314257,34.00509699432119,,False,False,1.472447809842004,1.3020527081601947,,2.781507300034741,2.9370976099044,,,False,False,Bryce Young,CAR,veteran_model,False,,False,ACT,1.0,starter,curated,14.190156731411273,14.190156731411273,1.0,False,1.0,14.190156731411273,19.626612978396096,downward,True,1.0,False,True,,,,,,,,0.7517328930085607,True,1.0000000000000002,False,33.081719189069275,214.5393770638172,26.97993809377384,116.45261469433012,2025.0,CAR,canonical_source_team_frame,0.0,0.0,0.0,0.0,0.0,905.4721981494504,108.95840063681862,4.80070544604321,0.0,2.273736754432321e-13,projected_games,294.110634531392,50.78920174084585,531.8077781112337
00-0039732,QB,2026,20.701259643536936,8.212070467224418,8.212070467224418,32.567156883950894,False,37.082220986617706,5.980521956392489,25.413795157625486,0.7626333397995634,1.9388231351836989,247.60540079264413,,,,0.3108680198141283,27.01809631810733,,False,False,1.1934263570407486,1.102846928398426,,1.4800710389070473,1.4131940368753375,,,False,False,Bo Nix,DEN,veteran_model,False,,False,ACT,1.0,starter,curated,15.57868763573879,15.57868763573879,1.0,False,1.0,15.57868763573879,19.06291339658912,downward,True,1.0,False,True,,,,,,,,0.9462984829354716,False,1.0,False,34.865759372852125,230.0782856671356,26.41359970598278,116.8514641863358,2025.0,DEN,canonical_source_team_frame,0.0,0.0,0.0,0.0,0.0,210.04440072682928,74.10773495568668,5.660940848720042,0.0,0.0,projected_games,322.49845765298727,127.93328065156471,507.3535642791712
